Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Bench.Database.LSMTree.Internal.IndexCompact/searches/searches with 0-bit  rfprec,3.85703189976913e-5,3.839725028784095e-5,3.880714546314629e-5,6.900989309967869e-7,5.115049936463614e-7,9.6650046248903e-7
Bench.Database.LSMTree.Internal.IndexCompact/searches/searches with 16-bit rfprec,9.799620878563452e-6,9.776809198560604e-6,9.829633361394374e-6,8.68148333626843e-8,6.756054469924198e-8,1.1526887448068865e-7
Bench.Database.LSMTree.Internal.IndexCompact/construction/construction with 0-bit  rfprec and chunk size 100,4.077574608703713e-5,4.071230962299825e-5,4.095141056213562e-5,3.3393660061830217e-7,1.471710018127732e-7,6.455545864401943e-7
Bench.Database.LSMTree.Internal.IndexCompact/construction/construction with 16-bit rfprec and chunk size 100,1.0796543871093909e-4,1.0766705469833299e-4,1.0840613174032722e-4,1.1630126058729056e-6,7.722209701190203e-7,1.670749845015387e-6
Bench.Database.LSMTree.Internal.IndexCompact/construction/unsafeWriteRange-1k,9.370988644068e-8,9.337171086576344e-8,9.43468731375702e-8,1.5156065919856582e-9,1.0107961698882239e-9,2.402179688879657e-9
Bench.Database.LSMTree.Internal.IndexCompact/construction/unsafeWriteRange-10k,5.804516633396229e-7,5.787745297719802e-7,5.83662120607445e-7,7.552970883976003e-9,4.640162629062507e-9,1.291263531556473e-8
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/construct appsWithNearDups,2.0980743680143186e-4,2.0954659431838356e-4,2.1008514597851144e-4,8.915783821316116e-7,7.407668480911326e-7,1.064213173352733e-6
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/construct appsWithoutNearDups,2.0021681102298795e-5,1.999919777512269e-5,2.0060571434051845e-5,9.365110874935167e-8,6.5987511353414e-8,1.49207313718169e-7
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/search appsWithNearDups,9.392354845884559e-4,9.379021352264812e-4,9.414332925729011e-4,5.615911814970719e-6,4.321981292553559e-6,7.881486986601474e-6
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/search appsWithoutNearDups,2.491703360791397e-5,2.4775377268382752e-5,2.5146175434352673e-5,5.592688322302044e-7,3.923678180164264e-7,9.018321087888363e-7
